StartNumber,Rank,Name,AgeClass,Time,Gender,Country,AgeCategory,TimeTotalSeconds,TimeTotalHours
2,1,"Kipruto, Amos",30,0 days 02:03:46,men,KEN,1991-1995,7426.0,2.06
5,2,"Kiplimo, Philemon",24,0 days 02:04:01,men,KEN,1996-2007,7441.0,2.07
11,3,"Sang, Erick",24,0 days 02:04:30,men,KEN,1996-2007,7470.0,2.08
14,4,"Gelant, Elroy",35,0 days 02:05:36,men,RSA,1986-1990,7536.0,2.09
3,5,"Atanaw, Kinde",30,0 days 02:06:58,men,ETH,1991-1995,7618.0,2.12
15,6,"Diriba, Boki",24,0 days 02:07:13,men,ETH,1996-2007,7633.0,2.12
1,7,"Ringer, Richard",35,0 days 02:07:23,men,GER,1986-1990,7643.0,2.12
13,8,"Kigen, Alfonce",30,0 days 02:07:39,men,KEN,1991-1995,7659.0,2.13
7,9,"Kibitok, Felix",30,0 days 02:07:41,men,KEN,1991-1995,7661.0,2.13
6,10,"Kifle, Goitom",30,0 days 02:07:52,men,ERI,1991-1995,7672.0,2.13
12,11,"Kigen, Vincent",30,0 days 02:08:41,men,KEN,1991-1995,7721.0,2.14
10,12,"Tsegay, Samuel",35,0 days 02:09:29,men,SWE,1986-1990,7769.0,2.16
9,13,"Alemu, Abay",24,0 days 02:13:19,men,ETH,1996-2007,7999.0,2.22
1017,14,"Labali, Abdelhadi",30,0 days 02:16:14,men,MAR,1991-1995,8174.0,2.27
19,15,"Hassan, Omar",35,0 days 02:18:06,men,ART,1986-1990,8286.0,2.3
1011,16,"Hirczy, Dominik",24,0 days 02:18:31,men,AUT,1996-2007,8311.0,2.31
P10,17,"Cheptoch, B",–,0 days 02:19:43,men,nar,,8383.0,2.33
1010,18,"Nilsson, Jonas",30,0 days 02:20:29,men,SWE,1991-1995,8429.0,2.34
P12,19,Hoornweg,–,0 days 02:20:36,men, Ro,,8436.0,2.34
1008,20,"Lange, Jakob",30,0 days 02:21:10,men,GER,1991-1995,8470.0,2.35
29,21,"Franke, Benjamin",35,0 days 02:21:24,men,GER,1986-1990,8484.0,2.36
1012,22,"Dr. Arantes, Diego",24,0 days 02:23:21,men,BRA,1996-2007,8601.0,2.39
1001,23,"Turhan, Mestan",30,0 days 02:23:26,men,TUR,1991-1995,8606.0,2.39
1033,24,"Müller, Martin",30,0 days 02:23:31,men,GER,1991-1995,8611.0,2.39
P13,25,"Higgs, T",–,0 days 02:24:11,men,oma,,8651.0,2.4
1032,26,"Dr. Hooijschuur, Joffre",35,0 days 02:25:41,men,NED,1986-1990,8741.0,2.43
1018,27,"Arslan, Recep",24,0 days 02:25:58,men,TUR,1996-2007,8758.0,2.43
1002,28,"Holm, Henrik",30,0 days 02:26:00,men,DEN,1991-1995,8760.0,2.43
1261,29,"Mcintosh, Ben",24,0 days 02:27:09,men,GBR,1996-2007,8829.0,2.45
1073,30,"Gröschel, Tom",30,0 days 02:27:32,men,GER,1991-1995,8852.0,2.46
1014,31,"Boje Nielsen, Ricki",30,0 days 02:27:56,men,DEN,1991-1995,8876.0,2.47
1089,32,"Meinke, Joshua",30,0 days 02:28:03,men,GER,1991-1995,8883.0,2.47
28,33,"Flak, Mathias",24,0 days 02:28:19,men,NOR,1996-2007,8899.0,2.47
1024,34,"Schröder, Julius",30,0 days 02:28:30,men,GER,1991-1995,8910.0,2.48
1043,35,"Heleta, Ruslan",24,0 days 02:28:31,men,UKR,1996-2007,8911.0,2.48
1152,36,"Stifter, Simon",35,0 days 02:28:51,men,ITA,1986-1990,8931.0,2.48
1049,37,"Antonopoulos, Konstantinos",35,0 days 02:29:08,men,GRE,1986-1990,8948.0,2.49
1048,38,"Dieryck, Andreas",30,0 days 02:29:08,men,GER,1991-1995,8948.0,2.49
1104,39,"Klimaschewski, Bjarne",24,0 days 02:29:41,men,GER,1996-2007,8981.0,2.49
1055,40,"Sichert, Andreas",30,0 days 02:29:54,men,GER,1991-1995,8994.0,2.5
1025,41,"Srocke, Ole",35,0 days 02:29:56,men,GER,1986-1990,8996.0,2.5
1047,42,"Dr. Chimenz, Ferdinando",30,0 days 02:30:06,men,ITA,1991-1995,9006.0,2.5
1013,43,"Galanis, Antonis",24,0 days 02:30:17,men,GRE,1996-2007,9017.0,2.5
1067,44,"Rauter, Monier",35,0 days 02:30:28,men,GER,1986-1990,9028.0,2.51
1074,45,"O'Neill, Patrick",24,0 days 02:31:19,men,IRL,1996-2007,9079.0,2.52
1262,46,"Hannich, Steffen",30,0 days 02:31:43,men,GER,1991-1995,9103.0,2.53
1027,47,"Van Riesen, Thierry",35,0 days 02:31:53,men,GER,1986-1990,9113.0,2.53
1042,48,"Werner, Paul",35,0 days 02:31:57,men,GER,1986-1990,9117.0,2.53
1063,49,"Knudsen, Rune",40,0 days 02:32:39,men,DEN,1981-1985,9159.0,2.54
1046,50,"Kovermann, Michael",45,0 days 02:32:47,men,GER,1976-1980,9167.0,2.55
1086,51,"Silva, Ed Carlos",40,0 days 02:33:07,men,BRA,1981-1985,9187.0,2.55
1112,52,"Martinez Fuente, Ruben",45,0 days 02:33:12,men,ESP,1976-1980,9192.0,2.55
1056,53,"Wijnja, Hessel",35,0 days 02:33:14,men,NED,1986-1990,9194.0,2.55
1041,54,"Hiller, Christian",35,0 days 02:33:31,men,GER,1986-1990,9211.0,2.56
1037,55,"Dr. Hartnett, Barry",40,0 days 02:33:34,men,IRL,1981-1985,9214.0,2.56
1045,56,"Torosian, Ioannis",35,0 days 02:33:37,men,GRE,1986-1990,9217.0,2.56
1044,57,"Mc Swiney, Aidan",40,0 days 02:33:38,men,IRL,1981-1985,9218.0,2.56
1050,58,"Jordan, Lennart",30,0 days 02:33:48,men,GER,1991-1995,9228.0,2.56
1054,59,"Dr. Van Der Sanden, David",40,0 days 02:33:58,men,BEL,1981-1985,9238.0,2.57
1085,60,"Puzanov, Mykhaylo",35,0 days 02:34:15,men,UKR,1986-1990,9255.0,2.57
1068,61,"Dr. Ingvardsen, Jonas",45,0 days 02:34:21,men,DEN,1976-1980,9261.0,2.57
1040,62,"Holm, Anders",45,0 days 02:35:05,men,DEN,1976-1980,9305.0,2.58
1139,63,"Schmidt, Mike",40,0 days 02:35:34,men,GER,1981-1985,9334.0,2.59
1106,64,"Heczko, Robert",45,0 days 02:35:55,men,CZE,1976-1980,9355.0,2.6
1115,65,"Neumair, Christian",35,0 days 02:36:08,men,ITA,1986-1990,9368.0,2.6
1082,66,"Dr. Hyldgaard, Martin",40,0 days 02:36:25,men,DEN,1981-1985,9385.0,2.61
1077,67,"Dr. Chan, Kaho",40,0 days 02:36:32,men,HKG,1981-1985,9392.0,2.61
1209,68,"Bernard, Anatole",24,0 days 02:36:38,men,FRA,1996-2007,9398.0,2.61
1206,69,"Stauber, Daniel",40,0 days 02:36:42,men,GER,1981-1985,9402.0,2.61
1021,70,"Dr. Izquierdo Manzano, Cruz Angel",35,0 days 02:36:46,men,ESP,1986-1990,9406.0,2.61
1148,71,"Falkenhain, Alexander",30,0 days 02:36:48,men,GER,1991-1995,9408.0,2.61
1069,72,"Kirchberger, Michael",40,0 days 02:37:03,men,GER,1981-1985,9423.0,2.62
1039,73,"Lindgren, Rasmus",45,0 days 02:37:06,men,DEN,1976-1980,9426.0,2.62
1080,74,"Hasselbach, Alexander",30,0 days 02:37:06,men,GER,1991-1995,9426.0,2.62
1093,75,"Jensen, Johan Rafael",30,0 days 02:37:10,men,DEN,1991-1995,9430.0,2.62
1053,76,"Arnstad, Benjamin Absalon",30,0 days 02:37:37,men,DEN,1991-1995,9457.0,2.63
1083,77,"Herfkens, Mick",35,0 days 02:37:48,men,NED,1986-1990,9468.0,2.63
